tipo;Bedrock_1M;BordeCarb_;Cont_IgnCa;Faults_Euc;LitoContac;x;y;Gravity Fu;Magnetics;Potasio Ra;Thorio_Mer;Uranio_Mer
0;13792.75195;0;0;4841.4873;1800;817823.3468;7555920.596;6;4;3;1;1
0;824.62115;0;0;1019.80389;600;717416.3209;7587994.22;3;4;3;1;1
0;1456.02197;0;0;4651.88135;600;747612.9169;7566893.677;2;5;3;2;2
0;5374.01172;0;0;4525.4834;4103.65674;759563.958;7563384.095;2;5;2;1;1
0;3577.70874;0;0;3440.93018;3400;769182.0811;7508097.926;4;5;2;2;1
0;9245.53906;0;0;13916.89648;3600;814478.3496;7584325.69;6;5;1;1;1
0;3280.2439;0;0;10248.90234;1843.90894;805136.1567;7516326.048;4;4;0;0;0
0;2630.58936;0;0;7696.75244;400;773088.4829;7550154.045;3;5;1;1;1
0;3104.83496;0;0;16316.8623;282.84271;705892.5329;7543116.611;2;5;1;1;1
0;1800;0;0;6657.32666;1600;709067.2703;7567545.343;3;4;3;2;1
0;10816.6543;0;0;848.52814;1843.90894;815259.1064;7563690.76;6;4;3;1;1
0;1897.36658;0;0;12600;800;700243.1286;7587785.576;2;2;4;3;3
0;5600;0;0;4368.06592;3440.93018;814720.7247;7534886.229;4;4;0;0;0
0;2529.82202;0;0;447.21359;447.21359;745377.8929;7579249.929;2;2;3;1;1
0;3400;0;0;15681.83691;3200;716550.0522;7511514.835;2;5;2;2;1
0;600;0;0;4494.44092;400;717932.1304;7564059.153;2;5;3;2;1
0;1612.45154;0;0;9867.11719;1414.21362;818245.4214;7575313.663;6;5;2;1;1
0;3052.86743;0;0;4651.88135;3052.86743;770637.6659;7497434.557;5;5;0;0;0
0;6489.99219;0;0;1166.19043;200;811830.6254;7525921.375;3;2;0;0;0
0;1708.80078;0;0;6082.7627;1708.80078;792580.3634;7519634.614;4;5;0;0;0
0;447.21359;0;0;400;400;731723.9178;7497082.561;4;5;4;2;2
0;4638.96533;0;0;4600;600;804569.3556;7588121.089;6;5;1;1;1
0;2163.33081;0;0;6251.3999;2163.33081;783077.3427;7572821.483;3;2;1;1;2
0;824.62115;0;0;2690.72485;0;770907.8228;7573831.465;3;5;2;2;1
0;1800;0;0;8944.27148;600;773969.6995;7549499.504;3;5;2;1;1
0;3400;0;0;8121.57617;447.21359;798954.1985;7517477.52;4;5;0;0;0
0;1612.45154;0;0;6403.12402;1000;753829.5263;7558352.757;3;5;1;1;1
0;11371.89551;0;0;447.21359;1979.89905;816649.2875;7562428.854;6;4;1;1;1
0;800;0;0;11400;600;722839.5277;7515090.654;4;5;1;1;1
0;2952.9646;0;0;5325.41064;1019.80389;796160.6514;7516025.688;4;5;0;0;0
0;848.52814;848.52814;0;4808.32617;282.84271;782322.9965;7514015.113;5;2;1;2;1
0;800;894.42719;1341.64075;3111.26978;800;786725.5532;7580433.799;4;4;1;1;1
0;6053.09814;0;0;5366.56299;5854.9126;760495.4676;7498564.17;4;4;0;0;0
0;282.84271;0;0;5632.05127;200;730876.5976;7549628.852;2;3;2;1;1
0;3492.84985;0;0;12459.53418;200;799824.7898;7525946.73;3;2;1;1;1
0;1341.64075;0;0;12857.68262;1077.03296;794102.9536;7540964.315;5;4;2;1;1
0;600;0;0;5366.56299;400;735428.8053;7579967.756;3;5;1;1;1
0;6053.09814;0;0;7155.41748;1019.80389;811957.3958;7572305.02;6;4;3;2;2
0;721.11023;0;0;16571.05859;565.68542;783073.6149;7543204.535;4;5;2;1;2
0;1414.21362;0;0;2828.42725;447.21359;770811.3827;7561266.348;3;2;1;1;1
0;5531.72656;0;0;5015.97461;632.45551;820039.382;7567386.84;6;4;3;1;1
0;1843.90894;1843.90894;0;1264.91101;1843.90894;751904.9233;7498721.715;4;2;0;0;0
0;565.68542;0;0;200;400;733912.6998;7506624.081;4;5;1;1;1
0;4418.14453;0;0;1166.19043;894.42719;809263.6257;7551606.513;5;4;1;1;1
0;721.11023;0;0;4079.21558;632.45551;800295.9893;7557826.37;5;5;1;1;1
